Project Name,Package Name,Type Name,Code Smell
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableTest,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTable,Deficient Encapsulation
berkeley,edu.berkeley.nlp.lm.phrasetable,TargetSideTranslation,Deficient Encapsulation
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,Unexploited Encapsulation
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,Missing Hierarchy
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValues,Unnecessary Abstraction
berkeley,edu.berkeley.nlp.lm.phrasetable,FeaturePhraseTableValues,Broken Hierarchy
berkeley,edu.berkeley.nlp.lm.phrasetable,TargetTranslationsValues,Unnecessary Abstraction
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReaderCallback,Cyclic-Dependent Modularization
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,Cyclic-Dependent Modularization
berkeley,edu.berkeley.nlp.lm.io,TestMain,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,Deficient Encapsulation
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,Deficient Encapsulation
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,Insufficient Modularization
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFromTextReaderTest,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm.io,BinaryTest,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm.io,IOStreamUtils,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm.io,IOUtils,Insufficient Modularization
berkeley,edu.berkeley.nlp.lm.io,LmReaders,Insufficient Modularization
berkeley,edu.berkeley.nlp.lm.io,ArpaLmReaderCallback,Broken Hierarchy
berkeley,edu.berkeley.nlp.lm.io,IOFileUtils,Cyclic-Dependent Modularization
berkeley,edu.berkeley.nlp.lm.io,ArpaLmReader,Deficient Encapsulation
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,Insufficient Modularization
berkeley,edu.berkeley.nlp.lm.io,NgramOrderedLmReaderCallback,Broken Hierarchy
berkeley,edu.berkeley.nlp.lm.io,IOTextUtils,Cyclic-Dependent Modularization
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,Multipath Hierarchy
berkeley,edu.berkeley.nlp.lm,WordIndexer,Cyclic-Dependent Modularization
berkeley,edu.berkeley.nlp.lm,StaticMethods,Cyclic-Dependent Modularization
berkeley,edu.berkeley.nlp.lm,AbstractContextEncodedNgramLanguageModel,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm,AbstractContextEncodedNgramLanguageModel,Broken Hierarchy
berkeley,edu.berkeley.nlp.lm,AbstractContextEncodedNgramLanguageModel,Rebellious Hierarchy
berkeley,edu.berkeley.nlp.lm,StaticMethods,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm,DefaultImplementations,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm,StupidBackoffLm,Multipath Hierarchy
berkeley,edu.berkeley.nlp.lm,ConfigOptions,Deficient Encapsulation
berkeley,edu.berkeley.nlp.lm,AbstractNgramLanguageModel,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm,ContextEncodedNgramLanguageModel,Deficient Encapsulation
berkeley,edu.berkeley.nlp.lm,LmContextInfo,Unnecessary Abstraction
berkeley,edu.berkeley.nlp.lm,LmContextInfo,Deficient Encapsulation
berkeley,edu.berkeley.nlp.lm,DefaultImplementations,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm,AbstractArrayEncodedNgramLanguageModel,Unutilized Abstraction
berkeley,edu.berkeley.nlp.lm,AbstractArrayEncodedNgramLanguageModel,Broken Hierarchy
berkeley,edu.berkeley.nlp.lm,AbstractArrayEncodedNgramLanguageModel,Rebellious Hierarchy
berkeley,edu.berkeley.nlp.lm,ContextEncodedProbBackoffLm,Multipath Hierarchy
