Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
berkeley,edu.berkeley.nlp.lm.phrasetable,FileUtils,0,0,1,1,18,1,0,0,-1.0,2,1
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableTest,0,0,2,2,26,2,0,0,-1.0,0,3
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTable,5,2,5,4,64,11,0,0,0.4,1,9
berkeley,edu.berkeley.nlp.lm.phrasetable,TargetSideTranslation,2,2,1,1,7,1,0,0,0.0,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableCounts,1,0,1,1,6,1,0,0,0.0,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,13,0,23,15,196,49,0,0,0.2608695652173913,3,7
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValues,0,0,0,0,2,0,2,0,-1.0,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,FeaturePhraseTableValues,2,0,1,1,9,1,0,1,0.0,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,TargetTranslationsValues,3,0,0,0,7,0,0,1,-1.0,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReaderCallback,1,0,4,4,22,5,0,0,0.0,2,5
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,3,0,4,2,69,10,0,0,0.0,1,6
berkeley,edu.berkeley.nlp.lm.io,TestMain,0,0,1,1,10,1,0,0,-1.0,0,2
berkeley,edu.berkeley.nlp.lm.io,FileUtils,0,0,1,1,18,1,0,0,-1.0,7,1
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,2,1,7,5,72,11,0,0,0.0,1,8
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,0,0,7,5,42,7,0,0,-1.0,0,5
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,5,5,24,22,234,31,0,0,0.0,2,15
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFromTextReaderTest,0,0,9,5,99,19,0,0,-1.0,0,8
berkeley,edu.berkeley.nlp.lm.io,BinaryTest,0,0,2,2,48,5,0,0,-1.0,0,7
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,0,0,2,2,46,14,0,0,-1.0,0,6
berkeley,edu.berkeley.nlp.lm.io,GoogleLmReader,7,0,8,6,126,20,0,1,0.25,1,6
berkeley,edu.berkeley.nlp.lm.io,IOStreamUtils,0,0,2,2,22,4,0,0,-1.0,0,0
berkeley,edu.berkeley.nlp.lm.io,IOObjUtils,0,0,9,7,36,9,0,0,-1.0,1,1
berkeley,edu.berkeley.nlp.lm.io,IOUtils,2,0,44,42,269,59,0,0,0.4318181818181818,12,2
berkeley,edu.berkeley.nlp.lm.io,LmReaders,0,0,34,23,341,40,0,0,-1.0,12,18
berkeley,edu.berkeley.nlp.lm.io,ArpaLmReaderCallback,0,0,1,1,12,1,3,2,-1.0,2,0
berkeley,edu.berkeley.nlp.lm.io,IOFileUtils,0,0,5,4,21,7,0,0,-1.0,2,2
berkeley,edu.berkeley.nlp.lm.io,MakeKneserNeyArpaFromText,0,0,2,1,32,5,0,0,-1.0,1,5
berkeley,edu.berkeley.nlp.lm.io,LmReader,0,0,1,1,3,1,4,0,-1.0,1,0
berkeley,edu.berkeley.nlp.lm.io,ArpaLmReader,10,3,7,2,158,21,0,1,0.0,1,4
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,7,0,28,20,241,52,0,2,0.32142857142857145,3,11
berkeley,edu.berkeley.nlp.lm.io,TextReader,2,0,7,3,69,11,0,1,0.0,3,6
berkeley,edu.berkeley.nlp.lm.io,FirstPassCallback,5,0,11,9,79,17,0,3,0.2727272727272727,1,3
berkeley,edu.berkeley.nlp.lm.io,NgramOrderedLmReaderCallback,0,0,2,2,17,2,2,1,-1.0,1,0
berkeley,edu.berkeley.nlp.lm.io,IOTextUtils,2,0,13,12,73,19,0,0,0.5384615384615384,2,3
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFileWritingLmReaderCallback,2,0,7,7,44,9,0,3,0.0,1,5
berkeley,edu.berkeley.nlp.lm.io,NgramMapAddingCallback,3,0,7,7,54,16,0,3,0.2857142857142857,1,1
berkeley,edu.berkeley.nlp.lm.io,MakeLmBinaryFromGoogle,0,0,2,1,24,3,0,0,-1.0,1,4
berkeley,edu.berkeley.nlp.lm.io,MakeNgramMapBinaryFromGoogle,0,0,2,1,24,3,0,0,-1.0,1,5
berkeley,edu.berkeley.nlp.lm.io,ComputeLogProbabilityOfTextStream,0,0,4,1,75,13,0,0,-1.0,1,6
berkeley,edu.berkeley.nlp.lm.io,MakeLmBinaryFromArpa,0,0,13,12,80,19,0,0,-1.0,1,4
berkeley,edu.berkeley.nlp.lm.io,LmReaderCallback,0,0,2,2,18,2,1,0,-1.0,2,0
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,7,0,15,6,137,30,0,3,0.2,3,7
berkeley,edu.berkeley.nlp.lm,ResultContext,2,0,1,1,8,1,0,0,0.0,1,0
berkeley,edu.berkeley.nlp.lm,StringWordIndexer,6,0,13,13,58,13,0,1,0.0,4,1
berkeley,edu.berkeley.nlp.lm,WordIndexer,0,0,17,17,112,21,1,0,-1.0,27,2
berkeley,edu.berkeley.nlp.lm,StaticMethods,0,0,5,5,59,9,0,0,-1.0,4,2
berkeley,edu.berkeley.nlp.lm,AbstractContextEncodedNgramLanguageModel,1,0,6,6,23,6,1,2,1.0,0,3
berkeley,edu.berkeley.nlp.lm,NgramLanguageModel,0,0,10,10,103,21,3,0,-1.0,7,4
berkeley,edu.berkeley.nlp.lm,StaticMethods,0,0,5,5,72,16,0,0,-1.0,0,4
berkeley,edu.berkeley.nlp.lm,ArrayEncodedNgramLanguageModel,0,0,5,5,44,7,3,1,-1.0,12,2
berkeley,edu.berkeley.nlp.lm,DefaultImplementations,0,0,3,3,25,5,0,0,-1.0,0,2
berkeley,edu.berkeley.nlp.lm,StupidBackoffLm,3,0,7,6,81,13,0,3,0.42857142857142855,4,6
berkeley,edu.berkeley.nlp.lm,ConfigOptions,13,12,1,1,23,1,0,0,0.0,15,0
berkeley,edu.berkeley.nlp.lm,AbstractNgramLanguageModel,4,0,4,4,23,4,2,1,0.0,0,1
berkeley,edu.berkeley.nlp.lm,ContextEncodedNgramLanguageModel,2,2,5,5,65,8,2,1,-1.0,6,3
berkeley,edu.berkeley.nlp.lm,LmContextInfo,2,2,0,0,14,0,0,0,-1.0,7,0
berkeley,edu.berkeley.nlp.lm,DefaultImplementations,0,0,2,2,27,5,0,0,-1.0,0,3
berkeley,edu.berkeley.nlp.lm,AbstractArrayEncodedNgramLanguageModel,1,0,5,5,23,5,2,2,1.0,0,2
berkeley,edu.berkeley.nlp.lm,ContextEncodedProbBackoffLm,4,0,7,5,86,17,0,3,0.0,3,6
berkeley,edu.berkeley.nlp.lm.cache,ContextEncodedDirectMappedLmCache,16,0,18,4,122,22,0,1,0.0,1,1
berkeley,edu.berkeley.nlp.lm.cache,ArrayEncodedDirectMappedLmCache,11,0,14,5,97,19,0,1,0.0,0,0
