Project Name,Package Name,Type Name,Method Name,Code Smell
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableTest,testPhraseTable,Long Statement
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableTest,testPhraseTable,Long Statement
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableTest,testPhraseTable,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableTest,testPhraseTable,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableTest,testPhraseTable,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,PhraseTableValueContainer,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,PhraseTableValueContainer,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,PhraseTableValueContainer,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,getFromOffset,Long Statement
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,getFromOffset,Long Statement
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,add,Long Parameter List
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,addNewSrcPhrase,Long Statement
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,addNewSrcPhrase,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,addNewSrcPhrase,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,addNewSrcPhrase,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,addFeaturesForWholePhrase,Long Statement
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,addFeaturesForWholePhrase,Long Statement
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,addFeaturesForWholePhrase,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,addFeaturesForWholePhrase,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,growValueIndexArrayIfNecessary,Long Statement
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,growValueIndexArrayIfNecessary,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,growValueIndexArrayIfNecessary,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReaderCallback,MosesPhraseTableReaderCallback,Long Statement
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReaderCallback,MosesPhraseTableReaderCallback,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReaderCallback,MosesPhraseTableReaderCallback,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReaderCallback,call,Long Parameter List
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReaderCallback,call,Long Statement
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,countPhrases,Long Statement
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,countPhrases,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,countPhrases,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,countPhrases,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,countPhrases,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,countPhrases,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,countPhrases,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,countPhrases,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,countPhrases,Magic Number
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,countPhrases,Magic Number
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,getContextEncodedLm,Long Statement
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,getLm,Long Statement
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,testArrayEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,testArrayEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,testArrayEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,testArrayEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,testArrayEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,testContextEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,testContextEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,testContextEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,testContextEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,MissingEntryTest,testContextEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,testHash,Long Statement
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,testHashCached,Long Statement
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,testCompressed,Long Statement
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,testHashKneserNey,Long Statement
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,testCompressedKneserNey,Long Statement
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Long Statement
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScoresKneserNey,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScoresKneserNey,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScoresKneserNey,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testBigNgram,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testBigNgram,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testPredict,Long Statement
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testPredict,Magic Number
