Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
berkeley,edu.berkeley.nlp.lm.phrasetable,FileUtils,getFile,12,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableTest,testPhraseTable,21,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableTest,main,3,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTable,toString,3,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTable,readFromFile,6,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTable,MosesPhraseTable,4,1,2
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTable,getTranslations,30,6,3
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTable,getWordIndexer,3,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,TargetSideTranslation,toString,3,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableCounts,PhraseTableCounts,3,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,FeaturePhraseTableValues,3,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,PhraseTableValueContainer,7,1,2
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,createFreshValues,3,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,getFromOffset,14,6,3
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,readOrders,5,2,1
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,readOffsets,5,2,1
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,trimAfterNgram,2,1,2
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,getScratchValue,3,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,add,17,4,10
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,containsSeparator,4,3,3
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,addNewSrcPhrase,13,4,2
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,addPointerToTargetSidePhrase,13,2,4
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,combineOrderAndOffset,3,1,2
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,addFeaturesForWholePhrase,9,4,3
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,growValueIndexArrayIfNecessary,6,3,1
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,setSizeAtLeast,2,1,2
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,setFromOtherValues,6,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,trim,12,6,0
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,setMap,3,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,getSeparatorWord,3,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,clearStorageForOrder,5,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,storeSuffixoffsets,3,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,PhraseTableValueContainer,numValueBits,3,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,FeaturePhraseTableValues,FeaturePhraseTableValues,3,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReaderCallback,MosesPhraseTableReaderCallback,4,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReaderCallback,call,4,2,5
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReaderCallback,cleanup,3,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReaderCallback,getMap,3,1,0
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,MosesPhraseTableReader,4,1,2
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,parse,3,1,1
berkeley,edu.berkeley.nlp.lm.phrasetable,MosesPhraseTableReader,readFromFiles,11,1,1
